"Source:","/home/mia/Documents/Neato_Robot/motorcon/motorcon.sch"
"Date:","Tue 28 Jul 2020 02:44:58 AM CEST"
"Tool:","Eeschema 5.1.6"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","144"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"","","C1","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C52278"
"","","C2","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C52278"
"","","C3","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C52278"
"","","C4","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C5","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C6","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C7","1uF","Device:CP","Capacitor_SMD:C_Elec_4x5.4","~","C3348"
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C476766"
"","","C9","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C1790"
"","","C10","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C476766"
"","","C12","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C13","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C14","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C15","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C476766"
"","","C16","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C476766"
"","","C17","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C18","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C17024"
"","","C19","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C17024"
"","","C20","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C17024"
"","","C21","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C17024"
"","","C23","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C282736"
"","","C24","100uF","Device:CP","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~",""
